,Type,Country,Area,Location,Activity,Sex,Age,Fatal,Time,NewDate,NewMonth,NewYear,NewDay,NewAge,NewFatal,NewSpecies
21,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",Surfing,M,60,N,09h30,2018-04-25,Apr,2018,25,60.0,N,
22,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,,N,Afternoon,2018-04-24,Apr,2018,24,,N,White
23,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,M,32,N,21h50,2018-04-23,Apr,2018,23,32.0,N,Tiger
24,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddle-skiing,M,33,N,09h40,2018-04-22,Apr,2018,22,33.0,N,White
25,Unprovoked,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",Body boarding,M,29,N,,2018-04-19,Apr,2018,19,29.0,N,
26,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,54,N,,2018-04-15,Apr,2018,15,54.0,N,Bull
28,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,41,N,,2018-04-15,Apr,2018,15,41.0,N,
29,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,37,N,08h00,2018-04-15,Apr,2018,15,37.0,N,
30,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,Surfing,M,,N,09h30,2018-04-14,Apr,2018,14,,N,Tiger
31,Invalid,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,M,56,N,,,,,,56.0,N,
33,Unprovoked,BAHAMAS,,Bimini,Swimming,M,12,N,18h00,2018-04-05,Apr,2018,05,12.0,N,Bull
34,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,M,19,N,15h00,2018-04-03,Apr,2018,03,19.0,N,White
35,Unprovoked,USA,Hawaii,Kukio Beach,Stand-Up Paddleboarding,M,25,N,09h30,2018-03-31,Mar,2018,31,25.0,N,Tiger
36,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,Wading,M,10,N,17h35,2018-03-14,Mar,2018,14,10.0,N,Wobbegong
37,Unprovoked,AUSTRALIA,Victoria,Lorne,Swimming,M,69,N,15h30,2018-03-09,Mar,2018,09,69.0,N,
38,Unprovoked,AUSTRALIA,Victoria,Winkipop,Surfing,M,18,N,07h30,2018-03-09,Mar,2018,09,18.0,N,
39,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,Scuba Diving,M,38,N,,2018-02-24,Feb,2018,24,38.0,N,Blacktip
40,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,55,N,"19h00, Dusk",2018-02-23,Feb,2018,23,55.0,N,White
41,Provoked,AUSTRALIA,Victoria,Westernport Bay,Kayak fishing for sharks,M,34,N,Night,2018-02-18,Feb,2018,18,34.0,N,
42,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",Walking,M,35,N,16h00,2018-02-15,Feb,2018,15,35.0,N,Bull
43,Invalid,AUSTRALIA,Queensland,Mooloolaba Beach,Swimming,F,,N,18h00,2018-02-14,Feb,2018,14,,N,
44,Invalid,BRAZIL,"Boi Island, Victoria",Espirito Santo,Cleaning fish,F,46,N,,2018-02-11,Feb,2018,11,46.0,N,
45,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,Snorkeling,M,45,N,,2018-02-03,Feb,2018,03,45.0,N,Galapagos
46,Invalid,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Spearfishing,M,14,N,,2018-02-01,Feb,2018,01,14.0,N,
47,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,,M,18,N,08h00,2018-01-28,Jan,2018,28,18.0,N,Bull
48,Unprovoked,NEW CALEDONIA,,Nouville,Spearfishing,M,40s,N,15h30,2018-01-21,Jan,2018,21,,N,Bull
49,Unprovoked,AUSTRALIA,Queensland,Lizard Island,Diving,M,,N,15h01,2018-01-14,Jan,2018,14,,N,Reef
50,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,Free diving,M,28,N,,2018-01-13,Jan,2018,13,28.0,N,White
51,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,Surfing,M,20,N,Late afternoon,2018-01-12,Jan,2018,12,20.0,N,Small
52,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,,N,,2018-01-05,Jan,2018,05,,N,Wobbegong
53,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,F,54,N,18h00,2017-12-31,Dec,2017,31,54.0,N,Tiger
54,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,35,N,12h00,2017-12-30,Dec,2017,30,35.0,N,
55,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,Fishing / Wading,M,24,N,,2017-12-21,Dec,2017,21,24.0,N,Nurse
57,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba Diving,M,26,N,,2017-11-30,Nov,2017,30,26.0,N,Tiger
58,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,F,49,Y,,2017-11-30,Nov,2017,30,49.0,Y,Tiger
60,Unprovoked,USA,California,"Stillwater Cove, Monterey County",Spearfishing,M,25,N,13h45,2017-11-24,Nov,2017,24,25.0,N,White
61,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,F,14,N,Late afternoon,2017-11-18,Nov,2017,18,14.0,N,
63,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,M,25,N,16h00,2017-11-13,Nov,2017,13,25.0,N,
64,Unprovoked,CUBA,Holquin Province,Guardalavaca Beach,Night bathing,M,22,Y,23h30,2017-11-04,Nov,2017,04,22.0,Y,Tiger
65,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,Snorkeling,M,7,N,,,,,,7.0,N,Cookiecutter
66,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,Surfing,M,31,N,09h00,2017-10-28,Oct,2017,28,31.0,N,Wobbegong
67,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",Stand-Up Paddleboarding,M,,N,15h00,2017-10-26,Oct,2017,26,,N,
68,Unprovoked,MAURITIUS,Pamplemousses ,Le Goulet,Swimming,M,,N,Afternoon,2017-10-23,Oct,2017,23,,N,
69,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing ,M,17,N,17h00,2017-10-23,Oct,2017,23,17.0,N,
70,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,60,N,08h00,2017-10-23,Oct,2017,23,60.0,N,
71,Unprovoked,AUSTRALIA,South Australia,Normanville,Kayaking / Fishing,F,15,N,Afternoon,2017-10-22,Oct,2017,22,15.0,N,White
72,Unprovoked,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",Kayaking,M,,N,09h00,2017-10-21,Oct,2017,21,,N,
73,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",Swimming,M,,N,14h30,2017-10-18,Oct,2017,18,,N,Spinner
74,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,54,N,18h30,2017-10-09,Oct,2017,09,54.0,N,Tiger
75,Unprovoked,USA,Hawaii,"Kamaole Beach Park, Maui ",Snorkeling,F,40,N,12h30,2017-10-05,Oct,2017,05,40.0,N,
76,Invalid,SOUTH AFRICA,Western Cape Province,Dyer Island,Scuba Diving,M,31,,,2017-10-01,Oct,2017,01,31.0,unknown,
77,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,,N,Morning,2017-09-25,Sep,2017,25,,N,
78,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,M,,N,18h00,2017-09-25,Sep,2017,25,,N,White
79,Invalid,USA,New York,Rockaway,Surfing,M,33,,15h30,2017-09-24,Sep,2017,24,33.0,unknown,
80,Unprovoked,USA,Florida,Fort Worth,Surfing,M,,N,14h00,2017-09-24,Sep,2017,24,,N,
81,Unprovoked,USA,Florida,Palm Beach County,Surfing,M,,N,Morning,2017-09-20,Sep,2017,20,,N,
82,Unprovoked,SPAIN,Canary Islands,Gran Canaria ,Body surfing,M,13,N,,2017-09-16,Sep,2017,16,13.0,N,
83,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,28,N,16h30,2017-09-16,Sep,2017,16,28.0,N,
84,Invalid,SOUTH AFRICA,Western Cape Province,Hawston,Scuba Diving,M,25,,Afternoon,2017-09-15,Sep,2017,15,25.0,unknown,
87,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,18,N,18h45,2017-09-13,Sep,2017,13,18.0,N,
88,Unprovoked,AUSTRALIA,Westerm Australia,Sam's Creek area,Swimming,M,,N,15h00,2017-09-10,Sep,2017,10,,N,
89,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,Surfing,M,35,N,06h00,2017-09-10,Sep,2017,10,35.0,N,White
91,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,"Swimming, poaching abalone",M,,Y,Morning,2017-09-03,Sep,2017,03,,Y,
92,Unprovoked,JAPAN,Shizuoka Prefecture,Iwata City,Surfing,M,42,N,10h00,2017-09-03,Sep,2017,03,42.0,N,
93,Unprovoked,USA,Florida,"Marathon, Monroe County",Swimming,M,,N,,2017-09-02,Sep,2017,02,,N,Nurse
95,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,N,10h44,2017-09-02,Sep,2017,02,17.0,N,
96,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,Surfing,M,37,N,10h30,2017-08-29,Agu,2017,29,37.0,N,White
97,Unprovoked,USA,Florida,Bathtub Beach ,Wading,F,3,N,13h19,2017-08-27,Agu,2017,27,3.0,N,
98,Invalid,SPAIN,Castellón,Grao de Moncofa,Swimming,F,11,,Midday,2017-08-26,Agu,2017,26,11.0,unknown,
100,Unprovoked,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",SUP,M,69,N,10h00,2017-08-23,Agu,2017,23,69.0,N,White
102,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,M,13,N,13h30,2017-08-10,Agu,2017,10,13.0,N,Blacktip
103,Unprovoked,EGYPT,Red Sea Protectorate,Marsa Ghalib,Snorkeling,F,20,N,,2017-08-05,Agu,2017,05,20.0,N,Whitetip
104,Provoked,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",Fishing,M,34,N,23h30,2017-08-03,Agu,2017,03,34.0,N,
105,Boating,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",Kayaking / Fishing,M,,N,10h45,2017-08-01,Agu,2017,01,,N,White
106,Unprovoked,USA,Florida,"Jacksonvlle, Duval County",Skimboarding,M,15,N,18h30,2017-07-31,Jul,2017,31,15.0,N,
107,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,,15h00,2017-07-29,Jul,2017,29,10.0,unknown,Small
108,Unprovoked,USA,South Carolina,"DeBordieu Colony, Georgetown County",,F,12,N,Afternoon,2017-07-29,Jul,2017,29,12.0,N,
111,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Surfing,M,37,N,17h00,2017-07-24,Jul,2017,24,37.0,N,
113,Unprovoked,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",Swimming,F,,N,Afternoon,2017-07-23,Jul,2017,23,,N,Blue
114,Unprovoked,USA,Florida,"Snipes Point, Monroe County",,F,40,N,12h30,2017-07-22,Jul,2017,22,40.0,N,Small
115,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,F,8,,,2017-07-20,Jul,2017,20,8.0,unknown,
116,Boating,USA,California,"Stearns Wharf, Santa Barbara",Kayaking,M,40,N,11h20,2017-07-20,Jul,2017,20,40.0,N,White
117,Unprovoked,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",SUP,M,50,N,07h45,2017-07-20,Jul,2017,20,50.0,N,White
118,Unprovoked,USA,Washington,"South Beach, Westport, Grays Harbor County",Surfing,M,,N,18h30,2017-07-14,Jul,2017,14,,N,White
120,Boating,USA,California,"Santa Cruz, Santa Cruz County",Kayaking,M,,N,11h00,2017-07-11,Jul,2017,11,,N,White
121,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",Swimming,M,46,N,15h30,2017-07-09,Jul,2017,09,46.0,N,Bull
122,Provoked,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",Fishing,M,32,N,,,,,,32.0,N,Tiger
123,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",Surfing,F,13,N,15h00,2017-07-07,Jul,2017,07,13.0,N,White
125,Invalid,USA,South Carolina,Wrightsville Beach,Fishing,M,,,19h30,2017-06-29,Jun,2017,29,,unknown,
126,Unprovoked,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,F,16,N,,2017-06-21,Jun,2017,21,16.0,N,
127,Unprovoked,USA,Florida,"Singer Island, Palm Beach County",Surfing,M,,N,Morning,2017-06-19,Jun,2017,19,,N,
128,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,F,14,N,,2017-06-18,Jun,2017,18,14.0,N,Bull
129,Unprovoked,REUNION,,Roches Noire,Body boarding,M,34,N,10h00,2017-06-18,Jun,2017,18,34.0,N,Bull
130,Unprovoked,SPAIN,Ibiza Island,Playa den Bossa,Swimming,M,82,N,12h00,2017-06-17,Jun,2017,17,82.0,N,
133,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",Body boarding,M,48,N,08h30,2017-06-11,Jun,2017,11,48.0,N,White
134,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Surfing,F,,N,15h45,2017-06-10,Jun,2017,10,,N,Gill
135,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,19,N,10h00,2017-06-10,Jun,2017,10,19.0,N,
136,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,Surfing ,M,30,N,,,,,,30.0,N,
137,Unprovoked,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Spearfishing,M,,N,,2017-06-04,Jun,2017,04,,N,
138,Unprovoked,BAHAMAS,New Providence ,Athol Island,Snorkeling,F,32,N,Shortly before 12h00,2017-06-02,Jun,2017,02,32.0,N,Tiger
139,Provoked,USA,South Carolina,"Awendaw, Charleston County",Touching a shark,F,20,N,,2017-05-30,May,2017,30,20.0,N,
140,Unprovoked,USA,Florida,Off Jupiter,Feeding sharks,M,,N,Morning,2017-05-28,May,2017,28,,N,Tiger
141,Invalid,AUSTRALIA,New South Wales,Evans Head,Fishing ,M,73,N,,2017-05-27,May,2017,27,73.0,N,
142,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Khor Fakkan,Spearfishing,M,41,N,Morning,2017-05-12,May,2017,12,41.0,N,
143,Provoked,AUSTRALIA,Queensland,Weipa,Attempting to lasso a shark,M,29,N,,,,,,29.0,N,
144,Unprovoked,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Snorkeling,M,33,Y,17h00,2017-05-05,May,2017,05,33.0,Y,
145,Invalid,USA,California,"Sunset Beach, Orange County",Surfing,F,18,,14h30,2017-05-03,May,2017,03,18.0,unknown,
146,Unprovoked,USA,California,"San Onofre, San Diego County ",Swimming,F,,N,17h34,2017-04-29,Apr,2017,29,,N,
147,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,M,14,N,17h10,2017-04-29,Apr,2017,29,14.0,N,
148,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Surfing,F,33,N,11h00,2017-04-29,Apr,2017,29,33.0,N,
149,Unprovoked,REUNION,Saint-Leu,Pointe au Sal,Body boarding,M,28,Y,11h15,2017-04-29,Apr,2017,29,28.0,Y,
150,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",Body boarding,F,20s,N,14h00,2017-04-27,Apr,2017,27,,N,
152,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Snorkeling,F,40,N,16h00,2017-04-22,Apr,2017,22,40.0,N,
153,Invalid,USA,South Carolina,Georgetown County,Swimming,M,,,08h50,2017-04-20,Apr,2017,20,,unknown,
155,Unprovoked,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,Surfing,F,17,Y,16h00,2017-04-17,Apr,2017,17,17.0,Y,White
156,Unprovoked,USA,Hawaii,"Kekaha Beach, Kauai",Surfing,M,28,N,09h00,2017-04-14,Apr,2017,14,28.0,N,Tiger
157,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,17,N,13h30,2017-04-13,Apr,2017,13,17.0,N,
158,Unprovoked,USA,Florida,St. Augustine,Surfing,F,,N,13h45,2017-04-12,Apr,2017,12,,N,
159,Invalid,SOUTH AFRICA,KwaZulu-Natal,Protea Banks,Scuba Diving,M,68,,,2017-04-12,Apr,2017,12,68.0,unknown,
160,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,F,35,N,16h00,2017-04-11,Apr,2017,11,35.0,N,
161,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Paddle boarding,F,10,N,17h45,2017-04-10,Apr,2017,10,10.0,N,
162,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,F,21,N,17h00,2017-04-10,Apr,2017,10,21.0,N,
163,Unprovoked,USA,Florida,"Daytona, Volusia County",Swimming,M,16,N,,2017-04-06,Apr,2017,06,16.0,N,
164,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,51,N,13h00,2017-04-05,Apr,2017,05,51.0,N,
165,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,Kakaying,M,39,N,Afternoon,2017-04-02,Apr,2017,02,39.0,N,
166,Unprovoked,USA,Florida,"Destin, Okaloosa County",Swimming,F,17,N,15h00,2017-04-02,Apr,2017,02,17.0,N,Bull
167,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,58,N,10h00,2017-03-27,Mar,2017,27,58.0,N,
168,Unprovoked,AUSTRALIA,New South Wales,The Farm,Body boarding,M,30,N,18h30,2017-03-19,Mar,2017,19,30.0,N,
169,Boating,USA,California,Monterey Bay,Kayaking,M,,N,14h30,2017-03-18,Mar,2017,18,,N,White
170,Unprovoked,PHILIPPINES,Luzon Island,"Villamar, Caoayan",Spearfishing,M,25,N,,2017-03-11,Mar,2017,11,25.0,N,
171,Unprovoked,BAHAMAS,Great Exuma,,Washing hands,M,58,N,,,,,,58.0,N,Lemon
172,Unprovoked,AUSTRALIA,Western Australia,Mauds Point,Snorkeling,F,,N,Morning,2017-02-25,Feb,2017,25,,N,Bull
173,Unprovoked,AUSTRALIA,Western Australia,"Falcon Bay Beach, Mandurah",Surfing,M,,N,Morning,2017-02-24,Feb,2017,24,,N,
174,Unprovoked,REUNION,Saint-Andre,,Body boarding,M,26,Y,09h30,2017-02-21,Feb,2017,21,26.0,Y,
175,Unprovoked,AUSTRALIA,Queensland,Eva Rock,Spearfishing,M,26,N,10h20,2017-02-17,Feb,2017,17,26.0,N,
176,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,M,22,N,13h30,2017-02-11,Feb,2017,11,22.0,N,
177,Provoked,BRAZIL,Pernambuco,Fernando de Noronha Marine Park,Grabbing shark for a selfie,F,,N,Afternoon,2017-02-06,Feb,2017,06,,N,Lemon
178,Boating,SOUTH AFRICA,KwaZulu-Natal,Eastmoor Crescent Beach,Kayak fishing,M,,N,,2017-02-06,Feb,2017,06,,N,Tiger
180,Unprovoked,BAHAMAS,Bimini,,Scuba Diving,M,37,N,,2017-02-01,Feb,2017,01,37.0,N,Reef
181,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",Swimming,M,21,N,13h20,2017-01-24,Jan,2017,24,21.0,N,
182,Unprovoked,USA,Florida,"Vero Beach, Indian River County",,M,Teen,N,14h00,2017-01-22,Jan,2017,22,,N,
183,Unprovoked,AUSTRALIA,Queensland,"Boot Reef, Torres Strait",Scuba Diving,M,55,N,12h00,2017-01-21,Jan,2017,21,55.0,N,Bull
184,Unprovoked,AUSTRALIA,Queensland,Clairview,Swimming,M,57,N,13h30,2017-01-13,Jan,2017,13,57.0,N,
186,Unprovoked,INDONESIA,Bali,Balian Beach,Surfing,M,48,N,07h30,2017-01-09,Jan,2017,09,48.0,N,Bull
188,Unprovoked,USA,Florida,"Blockhouse Beach, Brevard County",Wading,M,47,N,12h30,2017-01-05,Jan,2017,05,47.0,N,
189,Invalid,AUSTRALIA,New South Wales,Merimbula,Wading,M,20,,18h00,2017-01-03,Jan,2017,03,20.0,unknown,
190,Unprovoked,USA,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",Surfing,M,16,N,17h00,2016-12-27,Dec,2016,27,16.0,N,
191,Unprovoked,AUSTRALIA,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",Snorkeling,F,,N,Morning,2016-12-24,Dec,2016,24,,N,Small
192,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay",Surf skiing ,M,55,N,07h00,2016-12-19,Dec,2016,19,55.0,N,White
193,Unprovoked,AUSTRALIA,Western Australia,Trigg Beach,Free diving,M,61,N,09h30,2016-12-14,Dec,2016,14,61.0,N,
194,Unprovoked,FRENCH POLYNESIA,Tuamotos,Takapoto Atoll,Fishing,M,40s,N,,2016-12-11,Dec,2016,11,,N,
195,Invalid,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,,Afternoon,2016-12-11,Dec,2016,11,19.0,unknown,
196,Provoked,AUSTRALIA,New South Wales,Merimbula,Surf fishing,M,20,N,02h00,2016-12-06,Dec,2016,06,20.0,N,Wobbegong
197,Unprovoked,AUSTRALIA,New South Wales,Booti Booti National Park,Surfing,M,65,N,09h00,2016-12-01,Dec,2016,01,65.0,N,White
198,Provoked,AUSTRALIA,Victoria,Queenscliff,Fishing,M,73,N,11h00,2016-11-28,Nov,2016,28,73.0,N,Sevengill
199,Unprovoked,USA,Hawaii,"Kamaole Beach Park I, Maui",Floating,F,58,N,10h30,2016-11-14,Nov,2016,14,58.0,N,Tiger
200,Unprovoked,USA,Florida,"Mayport Naval Station Beach, Duval County",Surfing,M,41,N,Afternoon,2016-10-30,Oct,2016,30,41.0,N,
201,Unprovoked,USA,Florida,Mayport Naval Station  Duval County,Surfing,M,42,N,Afternoon,2016-10-29,Oct,2016,29,42.0,N,
202,Unprovoked,AUSTRALIA,New South Wales,Broken Head Beach,Surfing,M,36,N,07h30,2016-10-24,Oct,2016,24,36.0,N,
203,Unprovoked,USA,Hawaii,"Hooipa Beach Park, Maui",Surfing,M,36,N,17h00,2016-10-21,Oct,2016,21,36.0,N,
204,Unprovoked,AUSTRALIA,Queensland,"Kings Beach, Caloundra",Surfing,M,,N,18h00,2016-10-15,Oct,2016,15,,N,
205,Unprovoked,USA,Hawaii,"Charlie Young Beach, Kihei, Maui",Snorkeling,F,66,N,09h50,2016-10-14,Oct,2016,14,66.0,N,
207,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,25,N,10h30,2016-10-12,Oct,2016,12,25.0,N,
208,Unprovoked,USA,Oregon,"Indian Beach, Ecola State Park, Clatsop County",Surfing,M,29,N,16h00,2016-10-10,Oct,2016,10,29.0,N,
209,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,N,11h30,2016-10-02,Oct,2016,02,21.0,N,
210,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfng,M,32,N,17h30,2016-10-01,Oct,2016,01,32.0,N,
211,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",Surfing,M,17,N,9h00,2016-09-26,Sep,2016,26,17.0,N,White
212,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,16,N,13h00,2016-09-18,Sep,2016,18,16.0,N,
213,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,36,N,11h00,2016-09-18,Sep,2016,18,36.0,N,
214,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,43,N,10h43,2016-09-18,Sep,2016,18,43.0,N,
215,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,M,43,N,After noon,2016-09-17,Sep,2016,17,43.0,N,
217,Unprovoked,AUSTRALIA,Victoria,Bells Beach,Surfing,M,,N,,2016-09-16,Sep,2016,16,,N,
219,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",Wading,M,60s,N,15h15,2016-09-11,Sep,2016,11,,N,
220,Unprovoked,USA,Hawaii,"Makaha, Oahu",Swimming,F,51,N,14h30,2016-09-07,Sep,2016,07,51.0,N,Tiger
